w1,PexPRO_17,PexPRO_23,PexPRO_30,QexPRO_17,QexPRO_23,QexPRO_30
0.420000,0.421100,-0.226500,-0.095388,0.000000,0.000000,0.095623
0.420000,0.417250,-0.225750,-0.092114,0.000000,0.000000,0.107814
0.420000,0.413400,-0.225000,-0.092732,0.000000,0.000000,0.105938
0.420000,0.407666,-0.217913,-0.060031,0.000000,0.000000,0.099261
0.420000,0.555886,0.082087,0.239969,0.000000,0.062864,0.191106
0.420000,0.515341,0.382087,0.333780,0.000000,0.213430,0.240015
0.420000,0.474068,0.488758,0.286725,0.000000,0.234524,0.191869
0.420000,0.480439,0.518300,0.300787,0.000000,0.249394,0.190792
0.420000,0.481721,0.536976,0.313353,0.000000,0.264880,0.183288
0.420000,0.489869,0.570287,0.328476,0.000000,0.279740,0.184000
0.420000,0.530558,0.608702,0.341404,0.000000,0.295709,0.191656
0.420000,0.518573,0.598243,0.360535,0.000000,0.311375,0.192065
0.420000,0.504784,0.583970,0.379509,0.000000,0.327431,0.189914
0.420000,0.494453,0.582705,0.399271,0.000000,0.329140,0.192873
0.420000,0.478822,0.577539,0.416428,0.000000,0.312829,0.190744
0.420000,0.479998,0.650324,0.470165,0.000000,0.356199,0.217471
0.420000,0.463864,0.723177,0.524819,0.000000,0.402602,0.243831
0.420000,0.454226,0.808506,0.581660,0.000000,0.448227,0.277242
0.420000,0.477723,0.890859,0.632162,0.000000,0.479097,0.311433
0.420000,0.466703,0.974150,0.684809,0.000000,0.501104,0.347668
0.420000,0.452047,1.020796,0.728034,0.000000,0.524704,0.366621
0.420000,0.437424,1.111730,0.809345,0.000000,0.483683,0.436113
0.420000,0.422789,1.205255,0.879120,0.000000,0.473037,0.494264
0.420000,0.409394,1.253035,0.924126,0.000000,0.486933,0.520099
0.420000,0.396000,1.330281,0.979919,0.000000,0.488642,0.568062
0.420000,0.404866,1.419691,1.016690,0.000000,0.284820,0.600000
0.420000,0.424374,1.423691,1.075483,0.000000,0.282492,0.600000
0.420000,0.428971,1.396465,1.096302,0.000000,0.376949,0.600000
0.420000,0.352617,1.096466,0.993745,0.000000,0.590433,0.555730
0.420000,0.398775,0.811792,1.025427,0.000000,0.408539,0.599998
